feature,A_H2O,A_CN,B_H2O,B_CN,C_H2O,C_CN,D_H2O,D_CN,E_H2O,E_CN,F_H2O,F_CN,G_H2O,G_CN
DS01,2594,2594,5711,1846,2245,2070,7507,1023,2693,1846,3541,2469,5911,1995
DS02,2108,2499,3173,2195,2000,2108,1978,1739,1739,1869,1782,3304,1630,2260
DS03,3196,4545,3343,3666,4340,4692,4076,2991,2991,3988,4399,4516,3108,3548
DS04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS10,2589,7664,2658,3383,3176,3280,2520,4488,5109,1864,4281,2658,4902,6352
DS11,2995,6620,3184,2112,3247,3026,3247,3468,3531,3436,4382,19229,4003,8322
NB01,488410,427544,561879,547934,458803,511460,486685,654658,476380,547275,566090,457250,543600,514749
NB02,181199,150262,100993,164084,144284,128322,161106,128427,177088,113829,163665,91554,200139,73474
NB03,1054161,682420,922487,417276,823688,488391,980261,748491,1068641,690764,1031417,648738,805860,551873
NB04,100696,76952,66602,86741,42957,81979,63162,65345,84393,73745,98315,98580,58301,64287
NB05,86311,92832,127554,105693,108062,77858,106386,94180,81647,101249,89553,60771,138119,108972
NB06,97692,121455,115080,87734,107537,132431,102218,119494,95504,83170,113006,62274,82755,91959
NB07,100450,97367,104705,96658,124191,107758,143924,105754,126072,122742,145311,91355,149720,94685
NB08,112651,88748,107751,94715,100916,118786,153891,93782,140189,84880,111718,102483,96449,91248
NB09,45711,120590,102450,104123,60846,111196,99445,102374,75792,65524,110664,69060,96403,39816
NB10,168486,77124,190449,212243,282451,255023,207216,189133,190786,172366,212007,161603,208532,215179
SP01,38645,19761,32919,27702,32619,27541,36267,31419,40284,23108,49079,21631,37606,19184
