feature,A_H2O,A_CN,B_H2O,B_CN,C_H2O,C_CN,D_H2O,D_CN,E_H2O,E_CN,F_H2O,F_CN,G_H2O,G_CN
DS01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DS02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DS03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DS04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DS11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NB01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NB02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NB03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NB04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NB05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NB06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NB07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NB08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NB09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NB10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SP01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SP02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SP03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SP04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SP05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X001,1,1,1,1,1,1,0,0,0,1,1,1,1,1
X002,0,1,1,1,0,0,0,0,0,0,0,1,0,0
X004,0,1,0,1,0,0,0,0,0,0,1,0,0,1
X006,0,0,0,0,0,0,0,0,0,0,0,1,0,0
X010,0,1,0,0,0,1,0,1,0,0,0,0,0,1
X011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X012,1,1,0,0,0,0,0,0,0,0,1,1,0,1
X013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X017,1,1,0,0,0,0,0,0,0,0,1,0,0,1
X019,0,1,0,0,0,0,0,0,0,0,0,0,0,1
X020,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X022,1,1,0,0,0,0,0,0,0,0,1,0,0,1
X023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X024,0,1,0,0,0,0,0,0,0,0,0,0,0,1
X029,0,1,0,0,0,0,0,0,0,0,0,0,0,1
X032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X042,1,0,0,1,0,0,0,0,0,0,0,0,0,0
X043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X051,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X081,0,1,0,0,0,0,0,0,0,0,0,0,0,1
X082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X278,1,1,1,1,1,0,0,1,1,0,1,1,1,1
X279,1,1,0,0,0,0,0,0,0,0,1,0,0,1
X280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X283,0,1,0,0,0,0,0,0,0,0,0,0,0,1
X284,0,0,0,0,0,0,0,0,0,0,0,0,0,1
X285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X287,1,1,1,0,1,0,1,0,1,0,1,0,1,1
X289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X292,0,0,0,0,0,0,0,0,0,0,0,1,0,0
X293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X314,0,1,0,1,0,1,0,1,0,1,0,1,0,1
X315,0,1,0,0,0,0,0,0,0,0,0,0,0,1
X316,1,1,0,0,0,0,0,0,0,0,1,0,0,1
NB51,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NB52,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NB53,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SP51,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SP52,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SP53,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SP54,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SP55,1,1,1,1,1,1,1,1,1,1,1,0,1,1
SP56,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X133,1,1,1,1,1,1,1,0,1,1,1,1,1,1
X136,1,1,1,1,1,1,1,1,1,1,1,0,1,1
X139,1,1,1,1,1,1,1,1,1,1,1,1,1,1
X141,1,1,0,0,0,0,0,0,0,0,1,1,0,1
X144,1,1,1,1,0,1,0,1,0,0,1,1,0,1
X152,0,1,0,0,0,0,0,0,0,0,0,0,0,1
X154,1,1,0,0,0,0,0,0,0,0,1,1,0,1
X155,0,0,0,0,0,0,0,0,0,1,0,1,0,0
X160,0,1,0,0,0,0,0,0,0,0,0,0,0,1
X166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X188,0,1,0,0,0,0,0,0,0,0,0,0,0,1
X196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X297,1,1,0,0,0,0,0,0,0,0,0,0,0,0
X304,1,1,0,0,0,0,0,0,0,0,1,0,0,1
X312,1,1,1,1,0,1,0,1,0,1,1,0,0,1
